task,display_system,slots,n,unscored,status_counts,mean_original_points,passes_original,mean_50_points,passes_50,mean_60_points,passes_60,mean_70_points,passes_70,pass_at_1,pass_at_8,pass_k_reason
A1,Qwen 3.8,8,1,7,"{""OUTPUT_MISSING"": 2, ""SCORED"": 1, ""RUN_OR_COLLECTION_PENDING"": 5}",99,1,99.2307692307692307692307692307692307692307692308,1,99.3846153846153846153846153846153846153846153846,1,99.5384615384615384615384615384615384615384615385,1,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,Qwen 3.8,8,0,8,"{""RUN_OR_COLLECTION_PENDING"": 4, ""OUTPUT_MISSING"": 3, ""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,8,3,5,"{""SCORED"": 3, ""JUDGE_ERROR"": 5}",99.9333333333333333333333333333333333333333333333,3,99.9487179487179487179487179487179487179487179487,3,99.9589743589743589743589743589743589743589743590,3,99.9692307692307692307692307692307692307692307692,3,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Qwen 3.8,8,1,7,"{""RUN_OR_COLLECTION_PENDING"": 7, ""SCORED"": 1}",87.1904761904761895,1,83.1135531135531125824175824175824175824175824176,1,80.3956043956043946373626373626373626373626373626,1,77.6776556776556766923076923076923076923076923077,1,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Qwen 3.8,8,0,8,"{""JUDGE_ERROR"": 6, ""RUN_OR_COLLECTION_PENDING"": 2}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,Qwen 3.8,8,6,2,"{""SCORED"": 6, ""RUN_OR_COLLECTION_PENDING"": 2}",67.0955901241615527329813044099666666666666666667,2,62.1015028927116839204751292665128205128205128205,2,58.7721114050784380454710125042102564102564102564,2,55.4427199174451921704668957419076923076923076923,2,,,No full original configuration population certified under one selected Judge; model identity not certified.
