task,generation_outcome_kind,slots,collected_finals,scored,judge_pending,no_final,mean_original_points,mean_60_points,passes_60,pass_at_1,pass_at_8,difficulty_sample_certified
A1,ALL_COLLECTED_OUTCOMES,8,8,8,0,0,91.117550734514616,90.7859451997343886923076923076923076923076923076923076923077,8,,,False
A2,ALL_COLLECTED_OUTCOMES,8,4,1,3,4,76.4838647714175950825970034575489819439115,75.83317326162120630042258932001536688436575,1,,,False
B1,ALL_COLLECTED_OUTCOMES,8,8,3,5,0,99.9333333333333333333333333333333333333333333333333333333333,99.9589743589743589743589743589743589743589743589743589743590,3,,,False
B2,ALL_COLLECTED_OUTCOMES,8,7,5,2,1,94.3190476190476184,90.4967032967032954989010989010989010989010989010989010989011,5,,,False
C1,ALL_COLLECTED_OUTCOMES,8,8,1,7,0,79.880861281667501074353939312188664333785,77.5855467418957197246860362322498803926984615384615384615385,1,,,False
C2,ALL_COLLECTED_OUTCOMES,8,8,5,3,0,77.06480091337234194377051519946,73.9979194431941684688937436196676923076923076923076923076923,3,,,False
